,0
5403, C'est pourquoi je me suis engagé à un nouvel objectif du prochain quinquennat visant à faire baisser le chômage à nouveau de 900000 personnes dans ce pays
5404," Pour distribuer, il faut produire"
5405," C'est pourquoi la gauche, dans ce pays, est aussi le camp de l'efficacité économique et de la compétitivité"
5406," Saint-Simon, les socialistes utopiques, et Marx lui-même : tous les socialistes de la révolution industrielle, des premiers combats du prolétariat dans notre pays ont concentré leur réflexion sur la façon la plus juste et la plus efficace de créer des richesses"
5407," Ce n'est que plus tard au XXème siècle, après la grande crise des années trente que de nouveaux penseurs socialistes ont mis la redistribution elle aussi essentielle au coeur de la pensée de la gauche"
5408," Et aujourd'hui, par notre vision de l'économie et de la société, par les propositions que je fais pour cette campagne : production et redistribution recherchées ensemble, nous tenons les deux bouts de la chaîne"
5409," Et là aussi nous avons fait preuve de notre efficacité : la gauche a obtenu en cinq ans de gouvernement cinq années de croissance forte, plus forte du double que celle qu'avait su créer nos prédécesseurs pendant les quatre années précédentes, plus forte que chez nos voisins de l'Europe"
5410," Pendant cinq ans nous l'avons ranimée, réveillée, apprivoisée, nourrie, protégée, et je pense que nous sommes les mieux placés pour la faire vivre dans la période qui vient"
5411, La gauche a su sous mon gouvernement donner l'impulsion nécessaire pour que la France entre enfin dans la société de l'information
5412, La gauche a su mener une politique industrielle volontariste composant des groupes puissants capables de lutter dans l'économie mondiale
5413," Nous n'avons pas voulu vendre Thomson pour 1 franc à Daewoo, nous avons fait à nouveau de Thomson un des premiers groupes mondiaux dans son secteur"
5414, C'est cette politique qui a permis d'attirer en France un nombre croissant d'investisseurs étrangers
5415," 608 Au début de mon quinquennat législatif et gouvernemental, avec l'installation de l'usine Toyota près de Valenciennes les mêmes, le MEDEF et la droite, nous disaient : "" il ne viendra pas de grandes entreprises à cause des 35 heures """
5416," Mais quand j'ai rencontré le PDG de Toyota avant que cette décision ne soit prise, il m'a répondu : "" les 35 heures, c'est vous qui les décidez, moi je pense qu'investir en France, c'est un bon choix, parce que vous avez de bons équipements collectifs, parce que vous avez des travailleurs qui savent travailler, qui ont la culture du travail ; parce que nos cadres auront de bonnes écoles pour leurs enfants, parce que nos cadres pourront se faire bien soigner dans vos hôpitaux qui sont les meilleurs du monde ; parce que vous avez des équipements collectifs dignes de ce nom"
5417," Aujourd'hui, à la fin de ces cinq années de gouvernement, certains nous chantent à nouveau l'hymne morose du déclin, comme s'ils n'aimaient pas notre pays ; comme s'ils ne voyaient pas la force de ceux qui s'y engage ; s'ils n'avaient pas confiance en nos savants, nos ouvriers, nos techniciens, nos cadres, nos laboratoires"
5418," Les mêmes décrient le système éducatif français, au risque de décourager nos enseignants, qui travaillent pour remplir leur mission"
5419," Les mêmes décrivent la France comme à feu et à sang, au risque de décourager les magistrats et les policiers qui dont leur travail chaque jour et qui ont envie d'entendre qu'on les encourage et qu'on les appuie plutôt que de chanter cet hymne morose une fois de plus"
5420," A la fin de ces cinq années de gouvernement, au moment où la droite essaie de nous faire croire au mépris des réalités que la France serait une terre dans laquelle on ne voudrait plus investir, une décision majeure a été prise par Stmicroelectronics, le groupe Philips, Motorala qui vont développer près de Grenoble leurs nouvelles générations de composant s électroniques"
5421," La gauche a su investir pour l'avenir: éducation, recherche, équipement, télécommunication, transport, rénovation de la ville"
5422," Une grande bataille de l'intelligence est en cours à l'échelle du monde, elle se déroule dans les laboratoires de recherche, au sein des universités et des grandes écoles, dans les colloques scientifiques internationaux, dans les ateliers des créateurs et des artistes, là se joue aussi l'avenir de notre pays, sa puissance scientifique et technologique, son poids économique, son rayonnement culturel, sa place dans le monde, la solidité de son identité, sa capacité à se projeter dans l'avenir"
5423," Je veux que notre pays soit au premier rang de cette bataille, et cela dépend de notre capacité collective à inventer, à innover et à créer"
5424, Cela dépend d'abord de l'État car aucune entreprise même la plus grande ne peut investir assez d'argent sur une période assez longue pour garantir les succès de la recherche fondamentale
5425," Parce que l'État est capable, soit de créer seul, soit de faciliter auprès des collectivités et des entreprises la mise en place d'infrastructures collectives dont la recherche et l'innovation ont besoin"
5426," On sait à chaque fois que la droite a été au pouvoir, les budgets qu'elle a remis en cause immédiatement ont toujours été le budget de la recherche, de la culture et de l'éducation"
5427," Si je suis élu Président de la République, la recherche comme la culture, comme l'éducation seront des priorités de mon quinquennat"
5428," C'était dans mon programme de 95, ça n'avait pas été voulu par mon adversaire, il a gagné, mais au moins sur ce point, grâce à cinq ans de gouvernement, c'est finalement mon programme qui s'est appliqué"
5429," Quitte à faire appliquer un programme, autant le faire appliquer par celui qui le défend, c'est-à-dire par moi"
5430," Garantir des moyens financiers importants pour le budget de la recherche, mettre en réseau la France de la recherche, rapprocher la recherche du monde économique pour faciliter la création de jeunes pousses, améliorer la carrière des chercheurs et favoriser leur mobilité, accélérer la mise en place d'un espace européen de la recherche, tel que nous avons commencé de le faire, voilà des objectifs pour le quinquennat qui vient"
5431," C'est la société tout entière qui doit reconnaître l'innovation, la créativité, l'invention comme des valeurs essentielles"
5432," Il faut qu'elle sache les valoriser et les récompenser, inventer et innover doit devenir une habitude partagée par tous les Français et qui entraîne le pays tout entier"
5433," C'est pourquoi je veux aider nos compatriotes, par l'éducation et la formation, à prendre part à ce mouvement"
5434," La Bretagne est attachée à l'unité nationale, à l'égalité républicaine, à la diversité culturelle, au respect des langues parlées notamment sur sa terre, à l'approfondissement de la décentralisation, elle est donc un lieu privilégié pour que j'évoque ici quelques aspects de ma vision de la République"
5435," Notre République, qui a connu tant de tumultes, tant de passions, parfois de drames, est aujourd'hui apaisée, mais je veux profondément qu'elle reste vivante"
5436," La République est aujourd'hui le bien commun des Français, réunis par la volonté de vivre ensemble"
5437," La République, si elle a été un combat, est surtout aujourd'hui une inspiration, un corps de valeurs autour desquelles les citoyens peuvent trouver un sens commun à leur vie collective dans laquelle s'inscrit leur parcours, leur itinéraire, leur choix individuel"
5438, 609 Nous ne sommes plus en 1792
5439," La République n'est pas menacée, ni son unité, et j'ai d'ailleurs même entendu tout récemment, honnêtement, je me suis pincé, le Président de la République approuver en Corse le processus de Matignon et demander (je le cite) "" la pleine réalisation des accords de Matignon """
5440," Nous sommes en 2002, la République entre dans le 21e siècle, et je suis convaincu qu'elle y a toute sa place, qu'elle reste une idée neuve, féconde et forte"
5441," La République n'appartient à personne, nul n'en a le monopole, elle vit dans le coeur de chaque Français"
5442," El le vit dans le coeur de chaque Français, et pourtant, on dit qu'à l'occasion de cette élection présidentielle, un certain nombre de nos concitoyens en âge de voter, détenteur d'une carte d'électeur, n'iront pas voter au premier, et peut-être même au deuxième tour"
5443," Je lisais, avant d'entrer dans cette salle, une dépêche d'agence, un sondage qui disait que peut-être 30 % de Français disaient qu'ils n'iraient pas voter"
5444," Ça, c'est peut -être un motif pour ne pas voter pour M"
5445," Car nos engagements, nos promesses : les 35 heures, la lutte prioritaire contre le chômage, la loi contre les exclusions, nous les avons tenus"
5446, Le deuxième motif qu'ils avançaient était de dire : voter n'apportera pas de changements à notre vie quotidienne
5447," Des changements assez rapides, assez vigoureux, bouleversant la vie pour ceux pour qui elle est la plus difficile, peut -être pas, mais je ne crois pas qu'on puisse dire ne sont pas des changements dans la vie quotidienne : 900000 chômeurs de moins, une loi contre les exclusions, cinq millions de personnes qui n'accédaient pas de façon correcte aux soins aujourd'hui et qui sont couverts par la couverture maladie universelle, l'allocation personnalisée d'autonomie qui va permettre d'assumer les situations de dépendance pour des personnes âgées ; la prime pour l'emploi, distribuant des sommes significatives à près de 10 millions de personnes au niveau du Smic"
5448," Au-delà du respect des engagements, au-delà de la démarche sincère et sérieuse qui a été la nôtre pour apporter des changements concrets dans la vie quotidienne de nos concitoyens et notamment de ceux pour qui la vie est la plus difficile, il faut aussi rappeler que la conquête de la République, cela a été aussi dans notre pays la conquête du suffrage universel, que des hommes et des femmes sont morts parfois sur les barricades pour conquérir ce droit de s'exprimer"
5449," Il faut rappeler qu'à travers le monde, des centaines de millions d'hommes et de femmes voudraient pouvoir s'exprimer, élire leurs dirigeants, voudraient pouvoir être enfin des citoyens et ce n'est pas parce que la démocratie est devenue chez nous comme l'air qu'on respire, qu'elle a été une conquête qui maintenant est là et vit au milieu de nous qu'il ne faut pas exercer ce droit essentiel"
5450," Le suffrage universel a été une conquête et un droit, il doit rester fondamentalement pour nous tous un devoir"
5451," Alors, comme l'a dit François tout à l'heure, je ne prends pas, dans cette campagne, les Français catégorie électorale par catégorie électorale, pour leur tenir à chacun des promesses qui entre elles sont par ailleurs contradictoires"
5452," Je connais leur diversité, je la respecte, je m'en inspire, la diversité c'est le bonheur d'un pays"
5453," Mais en même temps je veux créer entre tous les citoyens ce lien social, je veux les rassembler autour d'un projet commun, je veux les conduire dans une direction qui n'ignore pas les intérêts particuliers, qui n'enferme pas non plus ceux qui appartiennent à telle ou telle catégorie ou à telle ou telle corporation, mais qui dégage un chemin commun, un projet commun, auquel chacun peut adhérer en restant lui-même mais en même temps en appartenant à la communauté nationale plus vaste"
5454," Parmi ces valeurs de liberté, d'égalité et de fraternité, il me semble qu'aujourd'hui la valeur de la laïcité est une valeur précieuse entre toutes"
5455," Elle a été longtemps un combat et une arme, elle est aujourd'hui une référence précieuse et une protection"
5456," Mes chers amis, nous sommes tous, presque désespérés par la tragédie que connaît à nouveau le Proche-Orient, alors que le chemin de la paix s'était ouvert"
5457," Conduit d'ailleurs par des socialistes, Rabin et Pérès, et c'est la droite et l'extrême droite qui a aujourd'hui fermé le chemin en Israël"
5458," Je suis passionnément attaché à la sécurité d'Israël et je condamne de la façon la plus solennelle les attentats suicides, et je suis attaché aussi et tout autant au droit des Palestiniens de se construire un destin national et de bâtir leur Etat aux côtés d'Israël"
5459, Et c'est pourquoi je condamne la répression massive lorsqu'elle désespère le peuple palestinien et qu'elle nourrit la volonté et le désir de colère et de revanche
5460," C'est pourquoi j'ai proposé qu'une force d'interposition et d'observation soit, sous l'égide des Nations unies, installée, projetée pour qu'on sépare ceux que la haine aujourd'hui opposent et que l'on retrouve le chemin du dialogue et de la paix"
5461," C'est aussi pourquoi, après avoir discuté avec le gouvernement israélien, et en partant des propositions faites par un certain nombre d'organisations non gouvernementales, Charles Josselin et le gouvernement avons envoyé en Israël, mais pour les Palestiniens et notamment 610 pour la Croix-Rouge, un avion humanitaire destiné à apporter une solidarité concrète à ceux qui souffrent sur cette terre"
5462, Nous ne voulons pas que soient importées dans notre pays les passions qui flambent sur cette terre
5463," Nous ne nions pas les appartenances, nous connaissons les liens de solidarité, les engagements spirituels, mais en même temps, il ne faut pas que ce sentiment d'appartenance ou de solidarité conduise à un enfermement communautarisme, il ne faut pas que cela dresse une communauté contre une autre"
5464," Il faut que chacun se rappelle, en ces moments de tension, que la première et l'ultime communauté à laquelle nous devons nous rattacher dans l'esprit de la laïcité, c'est la communauté nationale"
5465," C'est pourquoi j'ai été heureux, de participer, avant-hier, à l'invitation de SOS Racisme et de l'Union des étudiants juifs de France à une discussion autour de l'esprit de tolérance, autour du respect des religions, autour du respect des communautés, qui justement condamnaient l'antisémitisme et aussi toutes les formes de racisme"
5466," Je veux que vous sachiez que mon gouvernement, la ministre de la justice ici présente, le ministre de l'intérieur, avec qui je me réunirai demain sur ce point, nous serons absolument implacables dans la lutte contre l'antisémitisme"
5467," Cette République, je veux la faire pleinement entrer dans notre temps"
5468," Je veux une République moderne, prenant en compte les mouvements de la société et les aspirations des citoyens d'aujourd'hui"
5469," La République n'est pas plus faible mais plus forte parce qu'il y a désormais la parité entre les femmes et les hommes, parce que nous avons reconnu la diversité des familles, parce que nous avons veillé à la protection et aux droits de l'enfant, parce que nous avons fait en sorte que le Pacs prenne en compte l'évolution dans la façon dont les personnes voulaient vivre leur amour"
5470," Je veux une République plus démocratique accordant pour cela plus de pouvoir au peuple, soulignant mieux la responsabilité de l'élu, et d'abord du premier d'entre eux, le président de la République"
5471, C'est pourquoi je m'engage à réformer le statut juridique du Président de la République si je suis élu à cette fonction
5472," Je veux une République démocratique et sociale où la négociation entre partenaires sociaux ait toute sa pla ce, mais où la loi garantisse en même temps la fidélité au progrès social, c'est pourquoi je propose une conférence économique et sociale pour aborder les grands sujets économiques et sociaux qui se posent à notre pays"
5473," Je ne veux pas assimiler à l'indivisibilité l'oubli, le mépris ou la négation de la diversité"
5474," C'est pourquoi je suis fier que mon gouvernement ait signé la charte européenne des langues et cultures régionales, et que je regrette que le président n'ait pas voulu engager le processus qui aurait permis d'engager sa ratification"
5475," La décentralisation, là encore, c'est la gauche"
5476," François Mitterrand, Pierre Mauroy, Gaston Defferre puis Pierre Joxe ont donné des libertés nouvelles aux villes, aux départements et aux régions"
5477," Voilà encore une réforme historique dont on se réjouit aujourd'hui, dont tout le monde se réclame, mais que la droite avait à l'époque combattu durement, prétendant, là encore, que ça remettrait en cause l'unité de la République"
5478," Au sein de mon gouvernement, Jean-Pierre Chevènement puis aujourd'hui Daniel Vaillant ont continué le sillon de la décentralisation ; la Bretagne le sait bien, là où peut-être la politique des pays rencontre le plus vif succès"
5479," Je veux ouvrir une nouvelle étape de la décentralisation, transférer de nouvelles compétences aux régions et structures inter communales"
5480, Elire au suffrage universel dès 2007 les exécutifs des structures intercommunales en même temps que les élections municipales
5481," Mes chers amis, mes chers camarades, vous le savez bien, vous ici rassemblés, la Bretagne riche de son identité, attachée à la France est en même temps profondément européenne, peut-être la région de France la plus européenne"
5482," 611 Comme vous, je me sais Français, je me sens européen, et je veux une France forte dans une Europe unie, forte d'une histoire dont nous sommes fiers, forte d'un espace placé au centre de l'Europe, au croisement des échanges, entre l'Atlantique et l'intérieur des terres, entre le Nord et la Méditerranée, un territoire dont les régions, toujours mieux reliées entre elles, toujours plus ouvertes vers le monde peuvent faire valoir leurs ressources"
5483," Forte d'un art de vivre que le monde entier nous envie, qui marie les beautés du patrimoine culturel et architectural, les spécialités des terroirs et les ¿oeuvres de l'esprit"
5484," Forte d'une population dont la natalité en Europe, juste après la très catholique Irlande, est la plus vigoureuse d'Europe, ce qui témoigne d'ailleurs par le nombre des mariages et des naissances que nos jeunes, contrairement à ceux qui prônent le contraire, ont confiance dans l'avenir et ont du bonheur à vivre dans la France d'aujourd'hui"
5485, Elle peut y trouver son épanouissement
5486, Les Français l'ont d'ailleurs montré dans le passage à l'euro
5487," Pour cela, elle doit en connaître le fonctionnement, et l'équipe que j'ai réunie autour de moi a appris à bien maîtriser les circuits européens"
5488," Mais surtout, la France doit proposer des idées fortes, et aucune, en sept ans, et c'est sans précédent dans l'histoire européenne n'est venue de la Présidence"
5489," Je propose de construire la fédération européenne des Etats-nations, scellée par une Constitution dont la Charte des droits fondamentaux sera le préambule"
5490," Je veux une Europe plus démocratique, associant les Parlements nationaux, désignant le Président de la Commission au sein de la majorité au Parlement européen pour faire vivre la démocratie, réformant le scrutin européen"
5491," Je veux une Europe plus efficace : c'est pourquoi je propose de renforcer le rôle du conseil des ministres, de créer un conseil permanent des Ministres chargés des Affaires européennes"
5492," Je veux réussir l'élargissement de l'Europe, en veillant à nos intérêts mais aussi en veillant aux acquis des intérêts communautaires"
5493," Je n'accepterai, Président élu, ni la dissolution de l'ambition européenne, ni la renationalisation des politiques communautaires notamment celles de la politique agricole commune et celle des fonds régionaux"
5494," Pour cela, il faudra créer les conditions d'un dialogue social européen avec les syndicats, avec une lutte résolue contre le dumping social ou fiscal, en promouvant des services publics européens forts et efficaces, développer l'Europe de la santé et de la sécurité sanitaire, et de la sécurité maritime"
5495," La France peut délivrer au monde un message de solidarité, de diversité culturelle, de justice et de progrès social"
5496, J'ai parlé de diversité culturelle
5497, C'est pour moi l'occasion de parler des changements de direction qui se sont produits à la tête de Canal+ et qui ont été provoquées par des décisions du PDG de Vivendi Universal
5498," Je n'ai pas à trancher ces problèmes de direction à l'intérieur d'un groupe privé, mais ce qui pour moi est essentiel et guidera mon action, déjà pour quelques semaines encore comme premier ministre, veillant aux engagements qui ont été pris, c'est l'identité de Canal+, sa liberté de ton, son esprit de liberté et d'impertinence"
5499," C'est l'indépendance de Canal+ que le PDG d' s'est engagé formellement à respecter, ce qui a permis d'autoriser par le CSA la fusion"
5500, C'est l'apport essentiel de Canal+ au cinéma dans notre pays à la création et à l'identité culturelle
5501," Alors, je veille, comme premier ministre, au respect des engagements qui ont été pris, c'est pourquoi j'ai saisi le Conseil Supérieur de l'audiovisuel pour qu'il veille à l'application de la loi et des engagements d'"
5502," 612 C'est pourquoi j'y veille comme candidat, que je m'exprime avec force sur ces questions où la droite est fort embarrassée parce que cela ne va pas dans le sens de ce qu'elle souhaite et c'est pourquoi je peux vous dire que j'y veillerai davantage encore si les Français m'élisent président"
5503," Voulons-nous une Europe où les travailleurs dans des grandes entreprises ont des droits et sont consultés ? Voulons-nous une Europe où l'on évite que le pouvoir politique, par différents moyens, mette la main sur tout et notamment sur la libre information ou bien sur la production culturelle ? Oui, je veux rapprocher ces décisions dont on parle aujourd'hui, des mouvements sociaux qui ont eu lieu en Italie"
5504," Bien sûr, je n'ai pas à m'immiscer dans la vie politique intérieure italienne, et je ne porte pas de jugement sur telle ou telle personne, mais en même temps, comment peut-on dire que l'on veut construire l'Europe, une Europe démocratique et une Europe des peuples et nier qu'il y ait aussi une vie politique européenne, des débats culturels et d'identité européenne ? Je vais vous le dire : je ne veux pas que ce qui arrive en Italie arrive dans mon propre pays"
5505," Mes chers amis, je suis heureux d'avoir tenu ici, en Bretagne, au coeur du Grand Ouest, avec vous, ma dernière grande réunion publique avant le premier tour"
5506," La terre bretonne est, pour la gauche, une terre importante, hier terre de mission, aujourd'hui terre d'ancrage et de fécondité"
5507," Trois jours nous séparent du premier tour, il nous faut un premier tour dynamique pour un second tour victorieux"
5508," Entraîner ceux qui sont convaincus ; conduire vers les urnes ceux qui disent qu'on aura le temps, qu'on verra bien au deuxième tour, qu'il sera toujours le temps de nous apporter les voix au second tour et que la période un peu malheureuse des vacances- mais nous ne pouvions pas faire autrement avec les élections législatives- entraîne vers d'autres rivages parfois"
5509," Il faut montrer à ceux que tentent d'autres votes pourquoi voter pour un socialiste, pour celui qui s'est efforcé à incarner une majorité de gauche et d'écologistes pendant 5 ans a un sens, y compris pour assurer mieux l'avenir Jusqu'à la dernière minute, il faut que vous alliez convaincre"
5510," Vous savez, vous, ce qui se joue à l'occasion de cette élection, vous savez pourquoi je veux, pour vous, avec vous, pour tous les Français présider autrement une France plus juste"
5511," En vous voyant rassemblés ici, je sens la force de la Bretagne qui me porte et c'est pourquoi j'ai confiance"
5512," Des millions de Français, au premier tour d'abord, puis au deuxième tour ensuite, m'ont fait confiance, nous ont fait confiance, mais la force de leurs voix, dans le contexte de l'époque, nous a conduit seulement au bord de la victoire"
5513," Deux ans après, en 1997, après l'échec avéré du début du septennat de Jacques Chirac, a été tentée la ruse d'une dissolution surprise pour essayer de surprendre le peuple de notre pays, désabusé et trompé par le reniement des promesses qui avaient été faites"
5514," Depuis cinq ans, nous gouvernons notre pays, la France"
5515," Nous n'avons certes pas tout réussi, mais nous avons tenu nos engagements, nous avons su tenir la maison France, gérer en même temps que nous réformions et que nous accomplissions de grandes réformes sociales"
5516," Nous nous sentons aptes, moi à un autre poste, à poursuivre le chemin sur lequel nous avons commencé à avancer"
5517," Aujourd'hui, à la fin d'un septennat sans relief mais d'une législature féconde, que nous est-il proposé par le candidat sortant si ce n'est le retour à la politique menée au début du septennat, la même politique avec les mêmes hommes, comme entre 1995 et 1997 ? 613 Je sollicite la confiance des Français, qui ont eu le temps de mieux me connaître pendant ces cinq ans, de me jauger, de m'apprécier, de me tester, de me faire confiance, de me critiquer, de m'envoyer parfois des coups de semonce, mais dont je pense que, au bout de cinq ans, et quel que soit le destin qu'ils me réservent, ils me respectent"
5518," Sur la base du respect des Français et de celui que moi-même je leur porte, je sollicite la confiance des Français pour une autre mission, avec les mêmes valeurs, adaptées au temps qui vient, mais avec d'autres défis dont j'ai tenté honnêtement de parler dans cette campagne"
5519," Ce qu'il faut maintenant dans ces derniers jours, c'est nous mettre en position solide, le 21 avril, pour obtenir la victoire le 5 mai"
5520," Mes chers amis, Je suis très heureux"
5521,
5522,
5523,
5524,
5525, Merci
5526," Je suis venu en Corse tant de fois, tant de fois comme ministre, comme candidat à la présidence de la République, comme chef de l’État, aujourd’hui à nouveau comme candidat"
5527," Et puis je suis venu en Corse aussi parce que je n’oublie pas que deux de mes fils ont du sang corse ! D’accord, c’est Sagone, c’est Vico ! Mais bon"
5528,
5529,
5530," C’est loin d’Ajaccio mais quand même ! Je suis venu en Corse, à chaque fois, avec beaucoup d’enthousiasme et beaucoup d’espoir"
5531,
5532,
5533," J’ai voulu tisser avec l’île, ses habitants, un lien, un lien de fidélité et si vous le permettez, un lien d’affection"
5534," J’aime la Corse, j’aime les Corses et c’est au nom de cette affection que ce soir je suis venu vous parler, vous parler de la Corse, vous parler des Corses, vous parler de la France, vous parler de la République"
5535," A quelques jours d’un rendez-vous historique pour notre pays - historique – je veux évoquer avec vous l’avenir de la Corse au sein de notre République ; je veux vous parler des défis qu’a à relever la Corse parce que la Corse s’inscrit dans un monde totalement nouveau, parce que la Corse que j’aime, veut préserver son identité et son art de vivre, et parce que la Corse souhaite par-dessus tout que ses enfants s’ils le décident, puissent vivre, travailleur, grandir sur l’île qu’est la leur"
5536," Je connais l’histoire de la Corse et je sais parfaitement que dans l’histoire de la Corse, le départ, le voyage est une des réalités et je veux que chaque jeune qui parte, le fasse pour une bonne raison, pas pour une mauvaise raison ; qu’il parte parce qu’il a envie de partir, pas qu’il parte de l’île parce que sur l’île on ne pourrait pas vivre, on ne pourrait pas travailler, on ne pourrait pas étudier ! Cette raison-là, je n’en veux pas ! J’ai mis du temps à comprendre la réalité corse, à m’imprégner de cette réalité corse ; j’ai compris depuis bien longtemps qu e les Corses voulaient la solidarité mais étaient humiliés par l’assistanat, les Corses étaient prêts à assumer leurs responsabilités mais qu’ils voulaient qu’on leur fasse confiance"
5537," Le Corse est ainsi, il est prêt à tout donner pour peu qu’il sente que de l’autre côté, on le respecte"
5538," Il est prêt à assumer ses responsabilités, peut-être mieux qu’aucun autre citoyen de la République et pour peu qu’on lui fasse confiance"
5539," Il est prêt à parier sur le développement pour peu qu’il considère que l’île est traitée avec ju stice et avec équité car ici en Corse, moins qu’ailleurs en France (sic), on ne supporte pas l’injustice et c’est pour cela que j’ai choisi de traiter les sujets les plus difficiles, qui attendaient depuis si longtemps : l’université – je sais très bien que quand j’ai commencé, cher Tony, à m’en occuper de cette université de Corte, ce n’était pas un sujet de consensus, c’était parfois un sujet de moquerie pour le continent et c’était parfois un sujet de division sur l’île – j’ai voulu donner à l’université les moyens d’avancer"
5540," Je me suis saisi du dossier des agriculteurs parce que je sais parfaitement ce que pèse l’agriculture, pas simplement dans votre économie mais dans votre identité ; quel est le rapport à la terre et à la tradition orale ici"
5541," J’ai voulu investir massivement en faveur du développement économique car combattre la violence ici sans investir dans le développement économique, c’est ne pas comprendre que la Corse veut les deux choses, le pilier républicain, la paix et en même temps le développement"
5542," J’ai dit à nos compatriotes du continent que quand on décidait de rapprocher les détenus en Corse, c’est parce que dans un Etat républicain, on punissait celui qui a fait une faute, pas la famille de celui qui a fauté"
5543," J’ai été attaqué pour ça, j’ai été critiqué pour cela - je veux dire sur le continent, pas ici - parce que punir celui qui a fait un assassinat, qui a volé, qui n’a pas respecté les règles de la République, oui, mais imposer à sa femme, à ses enfants de prendre le billet, de traverser, d’aller sur le continent, je ne l’ai pas voulu"
5544," Tout ceci paraît presque simple aujourd’hui – presque simple - mais ceux qui m’ont aidé dans ces démarches – n’est-ce-pas Camille, n’est-ce pas Sauveur, n’est-ce pas Ange ?! – savent combien c’était long, c’était difficile et combien il m’a fallu affronter des préjugés parfois séculaires qui auraient pu nous faire échouer"
5545," Je veux que vous compreniez une chose : tout ce que j’ai fait, je l’assume, je ne l’ai pas fait par faiblesse"
5546," Parce que c’était une preuve de confiance ! Ces efforts, nous les avons effectués alors même que notre pays a dû faire face à des crises d’une violence inouïe depuis quatre ans"
5547," La France a été mise à l’épreuve ; à l’intérieur de la France, la Corse a été mise à l’épreuve"
5548, La Corse aujourd’hui produit davantage qu’il y a cinq ans et la Corse crée des emplois
5549," Mais il est vrai que la Corse se cherche encore et que c’est sans doute le destin de la Corse à travers cette histoire mêlée qu’est la vôtre, dans un monde qui change sans cesse"
5550, La Corse se demande comment rester elle-même et en même temps la Corse veut jeter toutes ses forces dans la bataille du monde nouveau
5551," J’ai la conviction que pour la Corse, c’est l’excellence"
5552, 1138 La Corse a les moyens de l’excellence ; la Corse ne supporte pas la médiocrité parce que la Corse se mesure à son histoire
5553," Personne ne doit décider à la place de la Corse, certainement pas les prédateurs économiques – ici, on n’est pas dans un paradis qui se vend, ici rien n’est à vendre, ici, on est dans un territoire de culture – ici, on ne s’abandonne pas à des marchands d’illusions, à ceux qui voudraient parler à votre place et qui sont si peu convaincus de la force de leurs idées qu’ils voudraient l’imposer par les armes, par les attentats, par les cagoules"
5554," La Corse doit s’appuyer sur un État qui sera son partenaire, respectant ce qu’elle est"
5555," Bien sûr, certains de mes amis m’ont dit « mais tu vas parler de politique » ? Oui, je vais parler de la Corse"
5556," Je ne viens pas ici faire le « pinzutu » ou le touriste, prendre un brin de Méditerranée et retourner chez moi"
5557," Ce n’est pas un discours tout fait, j’ai réfléchi à ces questions"
5558, Il sera engagé encore plus fortement aux côtés des Corses
5559, Alors je vais vous dire un certain nombre de choses pour que le cap des cinq prochaines années soit fixé entre nous
5560," D’abord – et c’est l’expression d’une grande conviction - jamais l’État ne transigera tant que je serai Président de la République avec ceux qui se livrent à des violences criminelles, quels qu’en soient les auteurs, quelles qu’en soient les victimes"
5561," Ce qui s’est passé dans les quinze derniers jours est intolérable : attentat contre la sous-préfecture de Corte, engin explosif au coeur d’Ajaccio, est-ce que les criminels qui font ça, savent qu’au moment où ils font exploser un engin, il peut y avoir un enfant corse, une femme corse, un innocent corse qui se trouve à ce moment-là et ce sont eux les assassins ! Les assassins doublement de la personne et de l’identité de la Corse ! Ils n’ont rien à voir avec la culture de la Corse ; ils sont étrangers à la société, à la culture qu’ils prétendent incarner, ce sont des usurpateurs ! Ils n’ont rien : ni courage, ni culture"
5562, Les deux homicides près d’Aleria sont une honte pour ceux qui les ont perpétrés
5563," Comme l’assassinat d’une femme l’an dernier en Corse, c’est ne rien comprendre à la place de la femme dans la société corse depuis des siècles que de pouvoir penser qu’on peut assassiner une femme en Corse, c’est une honte ! Et ces gens prétendent parler au nom de la Corse ! Ils ne la connaissent pas, la Corse, ils la blasphèment ! Voilà la réalité"
5564," Et que dire de l’incendie d’une salle de prières à Ajaccio, qui aurait pu avoir des conséquences dramatiques ? Les Corses ont été choqués par la violence de ces faits"
5565," Avec le ministre de l’Intérieur, avec le ministre de la Justice que je remercie de m’avoir accompagné, nous mettrons tout en oeuvre pour les retrouver et je prends le même engagement que j’avais pr is devant vous, souvenez-vous, quand il s’était agi de retrouver l’assassin d’un préfet de la République, je vous avais dit que nous le retrouverions ; je vous dis que ceux qui ont commis ces actes, nous les arrêterons, nous les défèrerons à la justice et qu’ils seront châtiés comme ils le méritent"
5566," C’est d’autant plus inadmissible que depuis dix ans, des efforts considérables ont été mis en oeuvre pour lutter contre ce fléau de la violence"
5567,
5568,
5569," sous les palmiers, oubliant que la Corse, c’est d’abord la montagne : en 2002, à mon arrivée au ministère de l’intérieur, j’ai trouvé une Corse minée par la violence qui avait connu 33 homicides et 22 tentatives au cours de la seule année 2001 ! 111 attentats au cours du premier semestre 2002 ! C’est la situation que j’ai trouvée"
5570," Face à cette criminalité, qui avait parfois pignon sur rue, nous avons remobilisé les forces de sécurité, 1"
5571," Le nombre d’attentats a été divisé par quatre en dix ans - comprenez-moi, c’est encore trop – mais par quatre en dix ans"
5572, Et je veux rendre hommage au courage et au dévouement des forces de police et de gendarmerie qui ont fait un travail remarquable
